Aaron White,Iowa,B10,35,59.6,111.7,22.9,53.5,57.56,10.1,17.8,7.7,15,100,143,0.699,119,209,0.569,17,61,0.279,3,2.2,53,Fr,08-Jun,30,2.89969,119.418,3.5,2012,22631,all,66.4,0.63264286,103,152,16,56,0.6776,0.2857,32,35,0.9143,49,104.053,98.7793,2.27958,161.789,4.30651,3.76943,0.537076,4.0112,23.8286,4.00493,0.00626322,2.0857,3.6,5.6857,0.8857,0.8857,0.6571,11.1143,Wing F,4.26815
Aaron White,Iowa,B10,37,72.4,114.5,22.1,49.7,58.13,9,13.8,9.8,15,189,252,0.75,125,230,0.543,14,64,0.219,2.5,2.3,85.7,So,08-Jun,30,3.89611,122.688,1.9,2013,22631,all,66.4,0.81666257,100,150,25,80,0.6667,0.3125,56,59,0.9492,49,93.119,89.2509,3.682,206.447,7.68341,4.69369,2.98972,8.07111,29.2432,5.62973,2.44138,2.3514,3.7297,6.0811,1.3243,1.1081,0.6757,13,Wing F,3.54157
Aaron White,Iowa,B10,33,69.3,122.6,19.9,60,65.95,6.8,19,12.2,18.2,130,161,0.807,135,214,0.631,8,31,0.258,2.3,2,65.7,Jr,09-Jun,30,3.94825,128.758,1.7,2014,22631,all,66.4,1.01694727,107,147,28,67,0.7279,0.4179,51,54,0.9444,49,97.7295,93.8032,3.44896,188.996,8.18647,5.42431,2.76216,8.31721,28.1212,6.17717,2.14004,1.697,4.9697,6.6667,1.8182,0.9697,0.5758,12.8485,Wing F,1.90109
Aaron White,Iowa,B10,34,78.1,128.1,23,55.3,63.26,7.7,18.5,10.2,10.3,195,238,0.819,150,269,0.558,21,59,0.356,1.7,2.6,72.6,Sr,09-Jun,30,5.86665,139.52,2,2015,22631,all,66.4,1.17074391,120,165,31,104,0.7273,0.2981,62,70,0.8857,49,93.0969,88.114,4.25912,218.074,10.4434,7.34678,3.09665,11.6205,31.4706,8.41527,3.20525,2.0882,5.2059,7.2941,1.4118,1.3235,0.4706,16.4118,Wing F,3.41201
Aaron Wiggins,Maryland,B10,34,58.8,112,17.3,50.8,52.96,5.2,10.6,6.6,11.8,26,30,0.867,35,102,0.343,62,150,0.413,0.8,2,11.9,Fr,06-Jun,2,2.1535,113.867,2.9,2019,66483,all,91.8,1,20,47,15,55,0.4255,0.2727,4,4,1,55,100.499,94.8416,2.82282,137.247,4.43769,3.16699,1.27071,4.82841,23.5,2.58587,2.24254,1,2.3235,3.3235,0.7941,0.7647,0.1765,8.2941,Wing G,11.2816
Aaron Wiggins,Maryland,B10,31,71.5,97.9,20.6,46.5,49.01,4.4,14.2,10.5,16.2,43,60,0.717,60,133,0.451,53,167,0.317,1.6,1.7,20,So,06-Jun,2,1.89139,104.412,2.2,2020,66483,all,91.8,0.88002974,42,59,18,74,0.7119,0.2432,16,17,0.9412,55,95.6657,90.6837,3.63548,169.977,3.79342,1.92469,1.86872,3.96781,28.5806,2.02615,1.94166,1.129,3.7419,4.871,1.4194,0.8387,0.4194,10.3871,Wing G,11.1524
Aaron Wiggins,Maryland,B10,30,83.3,103.8,24.9,51.7,54.23,4.5,15.9,17.2,14.5,56,73,0.767,106,206,0.515,53,153,0.346,2,2.1,20.3,Jr,06-Jun,2,3.86769,118.694,2.5,2021,66483,all,91.8,1.29511608,64,99,42,107,0.6465,0.3925,15,17,0.8824,55,99.3101,93.2843,3.92936,192.501,6.24866,3.93345,2.31521,5.79877,33.0968,4.166,1.63276,1.129,4.7097,5.8387,2.5484,1.129,0.5484,14.4516,Wing G,9.3733
Abdel Nader,Northern Illinois,MAC,30,61.2,78.5,31.2,38.1,41.91,4,17.4,12.6,23.8,60,88,0.682,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,07-Jun,23,0.246732,87.2548,4.4,2012,34544,all,51.6,0.34883316,32,67,42,147,0.4776,0.2857,9,9,1,58,105.971,106.773,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1,0.6667,0.7333,10.3333,Stretch 4,9.83555
Abdel Nader,Northern Illinois,MAC,19,41.5,80.2,36.7,38.6,42.6,6.3,22,13,21.8,44,57,0.772,63,170,0.371,26,94,0.277,3.1,3.3,21.6,So,07-Jun,23,0.928968,94.5043,4.5,2013,34544,all,51.6,0.27867933,37,75,26,95,0.4933,0.2737,4,4,1,58,94.3871,95.1509,2.69501,102.957,-3.33467,-4.18276,0.848084,-1.82921,25.4211,-1.60017,-0.229039,1.4737,4.1579,5.6316,0.8947,1.3158,0.5263,13.0526,Stretch 4,12.3202
Abdel Nader,Iowa St.,B12,32,38.5,92.4,21.1,45,48.84,5,14.5,7.8,19.1,33,43,0.767,54,101,0.535,15,69,0.217,3,1.3,25.3,Jr,06-Jun,2,0.82601,99.9396,3.8,2015,34544,all,51.6,0.62169173,40,61,14,40,0.6557,0.35,8,9,0.8889,58,99.388,94.5695,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,Wing F,7.53709
