player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos,player_tier
Taylor Griffin,Oklahoma,B12,36,74.8,112.4,16.6,54.7,58.69,9.3,12,7.9,19.6,91,130,0.7,120,219,0.548,5,14,0.357,3.4,2.5,55.8,Sr,07-Jun,,2.7988,111.221,3.7,2009,3787,all,75.4,0.77418416,,,,,,,,,,48,96.7464,91.2422,3.63682,215.421,7.9296,3.83034,4.09926,5.54732,30.0278,2.57115,2.97618,2.2778,3.5556,5.8333,1.3333,1.3056,1,9.6111,,7
Terrico White,Mississippi,SEC,35,77.7,111.4,22.4,49.8,52.63,5.3,9.9,9.1,10.7,85,119,0.714,131,269,0.487,61,178,0.343,0.6,1.6,26.6,So,05-Jun,24,3.73323,119.131,2.2,2010,5069,all,75.6,1.10633701,51,85,80,183,0.6,0.4372,14,17,0.8235,36,102.774,98.5941,3.00917,177.929,3.25796,3.93788,-0.679919,3.9374,31.5143,4.12324,-0.185844,1.5714,3,4.5714,1.4857,0.8857,0.2,15.1429,Wing G,7
Thomas Welsh,UCLA,P12,33,81.2,120.9,17.4,55.2,57.67,9.1,25.8,7.8,9.9,48,58,0.828,117,222,0.527,45,112,0.402,2.8,1.1,17.4,Sr,Jul-00,40,3.76185,120.832,2.9,2018,36884,all,92.6,1.35290693,40,61,77,161,0.6557,0.4783,10,10,1,58,100.591,97.2638,3.62666,239.61,5.10016,3.01093,2.08923,4.99345,33.2121,3.99832,0.995134,2.6364,8.2121,10.8485,1.3939,0.6667,0.8788,12.6364,PF/C,7
Tiny Gallon,Oklahoma,B12,30,57,102.9,24.7,55.6,58.43,13.2,25.5,7.6,23.4,62,89,0.697,118,206,0.573,4,17,0.235,3.3,1.7,39.9,Fr,09-Jun,24,2.41622,114.088,4.8,2010,11036,all,98.2,0.34286203,86,131,32,75,0.6565,0.4267,22,26,0.8462,47,102.044,95.9972,2.49168,154.541,1.9953,0.508437,1.48686,1.58633,23.7333,1.10044,0.485893,2.7667,5.1667,7.9333,0.8,0.7,0.7667,10.3333,PF/C,7
Tony Carr,Penn St.,B10,37,83.3,112,29.5,48.2,52.73,3,13.4,29.3,12.9,147,184,0.799,157,397,0.395,88,203,0.433,0.9,1.4,30.7,So,05-Jun,10,5.20015,130.126,2.1,2018,49590,all,90,2.18822084,62,139,95,256,0.446,0.3711,3,3,1,51,101.27,96.0237,4.07259,209.77,6.19195,5.52416,0.66778,7.54649,35.3514,6.77033,0.776158,0.8919,4.0541,4.9459,5.027,0.8108,0.2973,19.5946,Scoring PG,7
Tony Mitchell,North Texas,SB,30,80.9,98.2,22.9,48.2,52.27,8.5,20.4,5.2,19.7,97,145,0.669,107,212,0.505,28,97,0.289,8.4,1.8,46.9,So,08-Jun,13,1.91288,100.938,3.6,2013,20151,all,97,0.29331999,80,103,27,109,0.7767,0.2477,34,36,0.9444,37,95.1947,97.5923,3.17928,223.734,2.46772,-0.43196,2.89968,2.53077,32.7667,1.20283,1.32794,2.4667,6.0333,8.5,0.7333,1,2.7333,13.1667,PF/C,7
Travis Leslie,Georgia,SEC,33,78.7,114,24.8,51,56.05,12.2,13.6,20.6,16.7,109,136,0.801,164,317,0.517,13,43,0.302,2,2.3,37.8,Jr,04-Jun,1,4.41856,125.394,2.4,2011,8206,all,79.2,1.36620961,119,173,45,144,0.6879,0.3125,43,47,0.9149,47,97.1049,93.3879,3.66211,192.479,8.53735,5.89549,2.64186,8.40951,32.1818,6.57447,1.83505,3.2121,3.9697,7.1818,2.9394,1.2121,0.6061,14.4242,Wing G,7
Trey Thompkins,Georgia,SEC,28,56.4,95.5,25.9,48.7,51.5,8.7,22,7.5,20.5,53,73,0.726,101,223,0.453,33,86,0.384,4.2,2.1,23.6,Fr,10-Jun,,1.95987,106.214,2.6,2009,8201,all,85,0.32351972,,,,,,,,,,37,93.6352,89.6247,3.27211,170.007,1.29098,-0.998422,2.28941,3.00932,25.9643,1.90027,1.10905,2.0714,5.2857,7.3571,0.7857,0.9643,1.1071,12.6429,,7
Tyler Bey,Colorado,P12,31,69.7,109.9,24.6,55.5,61.12,8.3,27.7,11.5,20,136,183,0.743,127,233,0.545,13,31,0.419,4,3.1,69.3,Jr,07-Jun,1,3.67239,122.129,2.6,2020,52083,all,74.2,0.61333387,82,124,45,109,0.6613,0.4128,30,34,0.8824,36,84.6138,81.6426,4.56184,238.852,7.72222,2.1849,5.53732,8.96352,29,4.54475,4.41877,2,7.0323,9.0323,1.4839,1.5484,1.129,13.8387,Wing F,7
Tyler Dorsey,Oregon,P12,38,75.4,117.7,21.5,57.4,60.49,3.3,9.6,10.9,13.9,103,137,0.752,99,194,0.51,86,203,0.424,0.4,1.5,34.5,So,04-Jun,5,3.97575,124.918,2,2017,39243,all,94.6,1.13557646,74,117,25,77,0.6325,0.3247,5,5,1,41,100.81,96.0324,3.44372,180.935,4.54882,4.76981,-0.220987,5.55197,29.9744,4.84311,0.708854,0.8462,2.6154,3.4615,1.7179,0.7692,0.1026,14.641,Wing G,7
Tyler Harvey,Eastern Washington,BSky,29,84.1,122.6,26.2,57.6,62.46,2.1,9.2,13.2,12.2,143,167,0.856,90,174,0.517,114,279,0.409,0.3,1.7,36.9,Jr,04-Jun,1,5.50996,128.21,2.1,2015,25418,all,,1.28125,53,92,37,82,0.5761,0.4512,1,1,1,51,111.75,111.595,2.0347,160.198,1.94267,5.96747,-4.02479,4.63289,36.9375,6.94655,-2.31366,0.625,3,3.625,2.5625,1.125,0.125,23.0625,Combo G,7
Tyler Honeycutt,UCLA,P10,33,83.9,97.9,21.7,48.3,51.93,5.3,17.8,16.8,23.6,78,106,0.736,89,203,0.438,55,152,0.362,5.6,1.5,29.9,So,08-Jun,23,2.33011,104.348,1.8,2011,11221,all,94,0.930007,57,98,32,105,0.5816,0.3048,17,20,0.85,35,95.3301,90.2386,4.40193,234.231,6.56028,1.36769,5.19259,6.53801,34.9697,3.25031,3.2877,1.5152,5.697,7.2121,2.8182,0.8788,2.0606,12.7576,Stretch 4,7
Tyler Lydon,Syracuse,ACC,34,89.6,118.4,18,54.8,59.72,7.7,19.2,10.8,15.7,97,116,0.836,102,195,0.523,49,125,0.392,4.7,1.7,36.3,So,09-Jun,20,4.19162,120.652,2.7,2017,40441,all,85.8,1.18642312,69,99,33,96,0.697,0.3438,25,28,0.8929,24,101.689,96.6872,4.00861,244.374,7.57671,4.26047,3.31624,5.96957,36.0882,4.3122,1.65737,2.3235,6.3235,8.6471,2.0588,1.0294,1.4412,13.1765,Stretch 4,7
Tyler Ulis,Kentucky,SEC,35,88.5,125.7,24.1,49.7,56.68,1.7,7.1,34.3,13,167,195,0.856,137,282,0.486,55,160,0.344,0.3,2.3,44.1,So,09-May,3,6.65772,139.653,2,2016,35839,all,96.4,3.56528362,47,82,90,200,0.5732,0.45,0,0,,34,101.959,97.3339,3.99541,204.885,9.06995,8.66775,0.402208,9.69273,36.8,7.84836,1.84437,0.5429,2.4571,3,7.0286,1.4571,0.1143,17.3143,Pure PG,7
Tyrell Terry,Stanford,P12,31,78.2,106,24.3,53.5,58.92,1.4,14.4,20.3,19.4,98,110,0.891,85,181,0.47,62,152,0.408,0.2,2.5,33,Fr,01-Jun,3,3.43069,115.961,2.5,2020,70571,all,78.2,1.20728112,58,96,27,85,0.6042,0.3176,4,4,1,31,90.4644,88.5736,4.34347,202.458,5.17455,2.98222,2.19233,5.15134,32.5484,2.69189,2.45945,0.3548,4.129,4.4839,3.1935,1.3871,0.0645,14.6452,Combo G,7
Tyrone Wallace,California,P12,28,65.5,104,27.6,47.8,51.43,3.5,14.3,28.5,17.3,100,154,0.649,126,258,0.488,25,84,0.298,1.3,1.8,45,Sr,05-Jun,3,3.30434,116.947,2.8,2016,27397,all,81.8,1.66215143,70,110,56,149,0.6364,0.3758,6,7,0.8571,60,97.7535,93.1342,3.94716,166.945,6.37454,3.3627,3.01184,5.9016,32.1786,3.43397,2.46763,0.9643,4.3214,5.2857,4.3929,0.9643,0.4286,15.25,Combo G,7
